layer_spec,layer_name,feature_space,activation_shape,train_accuracy,validation_accuracy,test_accuracy,macro_f1,abstain_precision,abstain_recall,hard_eval_accuracy,hard_eval_macro_f1,hard_eval_abstain_precision,hard_eval_abstain_recall
block_0,block_0,block_0_last_token,"[180, 768]",1.0,0.9259259259259259,0.8888888888888888,0.8849867724867725,0.875,0.875,0.41875,0.4654479664206108,0.75,0.10465116279069768
block_mid,block_3,block_3_last_token,"[180, 768]",1.0,0.8888888888888888,0.8518518518518519,0.8211640211640212,1.0,1.0,0.4625,0.5113133950932439,1.0,0.12790697674418605
block_last,block_5,block_5_last_token,"[180, 768]",1.0,0.9259259259259259,0.9629629629629629,0.9481481481481481,1.0,1.0,0.48125,0.518666547111906,1.0,0.18604651162790697
pre_lm_head,pre_lm_head,pre_lm_head_last_token,"[180, 768]",1.0,0.9629629629629629,0.9629629629629629,0.9481481481481481,1.0,1.0,0.475,0.5121006357322442,1.0,0.1744186046511628
