method,threshold,objective,executable_accept_rate,hard_negative_reject_rate,macro_f1,auroc,auprc
max_softmax_probability,0.7045196890830994,1.0,1.0,1.0,1.0,0.4872427983539095,0.6210208975308588
top2_margin,0.5447178483009338,1.0,1.0,1.0,1.0,0.4814814814814815,0.6119489812336563
negative_entropy,-0.9332209825515747,1.0,1.0,1.0,1.0,0.48641975308641977,0.6187087934051863
negative_nearest_executable_centroid_distance,-40.357093811035156,1.0,1.0,1.0,1.0,0.4666666666666667,0.6674597116949157
classwise_centroid_threshold,-8.739261627197266,1.0,1.0,1.0,1.0,,
negative_mahalanobis_distance,-115.47528839111328,1.0,1.0,1.0,1.0,0.9868312757201646,0.9932268988872762
