examples_per_class,total_train_examples,test_accuracy,test_macro_f1,hard_eval_accuracy,hard_eval_macro_f1,abstain_precision,abstain_recall
5,30,0.6909090909090909,0.6935949975053489,0.3018181818181818,0.3025802453560014,1.0,0.08666666666666667
10,60,0.7454545454545455,0.7320313809284397,0.4072727272727273,0.4283932200442067,0.95,0.12666666666666668
20,120,0.9272727272727272,0.9261593526299409,0.48363636363636364,0.5235744075077787,0.9655172413793104,0.18666666666666668
30,180,1.0,1.0,0.5127272727272727,0.5531901907451807,0.9705882352941176,0.22
50,225,0.9818181818181818,0.984448951994591,0.5127272727272727,0.5595324080167757,1.0,0.19333333333333333
